Ranking of the world's countries by 2015 per capita fossil-fuel emission CO2
emissions rates. National per capita estimates (CO2_CAP) are expressed in
metric tons of carbon (not CO2). To convert these estimates to units of carbon
dioxide (CO2), simply multiply these estimates by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
With	 Tom Boden and Bob Andres, retired


RANK     NATION                                                      CO2_CAP
161      GUATEMALA                                                       0.27
162      SRI LANKA                                                       0.26
163      PAKISTAN                                                        0.26
164      PARAGUAY                                                        0.26
165      CAPE VERDE                                                      0.26
166      NICARAGUA                                                       0.25
167      TUVALU                                                          0.23
168      ZIMBABWE                                                        0.21
169      SWAZILAND                                                       0.21
170      PAPUA NEW GUINEA                                                0.21
171      MAURITANIA                                                      0.19
172      DJIBOUTI                                                        0.19
173      OCCUPIED PALESTINIAN TERRITORY                                  0.18
174      CONGO                                                           0.17
175      GHANA                                                           0.16
176      SENEGAL                                                         0.16
177      TAJIKISTAN                                                      0.16
178      SAO TOME & PRINCIPE                                             0.16
179      BENIN                                                           0.16
180      CAMBODIA                                                        0.15
181      NIGERIA                                                         0.15
182      KIRIBATI                                                        0.15
183      BANGLADESH                                                      0.14
184      VANUATU                                                         0.14
185      COTE D IVOIRE                                                   0.13
186      MYANMAR (FORMERLY BURMA)                                        0.13
187      REPUBLIC OF SUDAN                                               0.12
188      YEMEN                                                           0.11
189      TIMOR-LESTE (FORMERLY EAST TIMOR)                               0.11
190      TOGO                                                             0.1
191      KENYA                                                            0.1
192      SOLOMON ISLANDS                                                 0.09
193      REPUBLIC OF CAMEROON                                            0.08
194      ZAMBIA                                                          0.08
195      LIBERIA                                                         0.08
196      HAITI                                                           0.07
197      AFGHANISTAN                                                     0.07
198      GAMBIA                                                          0.07
199      UNITED REPUBLIC OF TANZANIA                                     0.07
200      MOZAMBIQUE                                                      0.06
201      GUINEA                                                          0.06
202      NEPAL                                                           0.06
203      COMOROS                                                         0.06
204      MALI                                                            0.05
205      BURKINA FASO                                                    0.05
206      GUINEA BISSAU                                                   0.04
207      ERITREA                                                         0.04
208      MADAGASCAR                                                      0.04
209      SIERRA LEONE                                                    0.04
210      ETHIOPIA                                                        0.04
211      UGANDA                                                          0.04
212      NIGER                                                           0.03
213      REPUBLIC OF SOUTH SUDAN                                         0.02
214      RWANDA                                                          0.02
215      CENTRAL AFRICAN REPUBLIC                                        0.02
216      MALAWI                                                          0.02
217      CHAD                                                            0.01
218      SOMALIA                                                         0.01
219      DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)               0.01
220      BURUNDI                                                         0.01
