Ranking of the world's countries by 2017 per capita fossil-fuel CO2 emissions
rates. National per capita estimates (CO2_CAP) are expressed in metric tons of
tons of carbon (not CO2). To convert these estimates to units of carbon dioxide
(CO2), simply multiply these estimates by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
SOURCE:  Tom Boden and Bob Andres
         Carbon Dioxide Information Analysis Center
         Oak Ridge National Laboratory
         Oak Ridge, TN 37831-6290 USA


RANK     NATION                                                      CO2_CAP
159      GUATEMALA                                                       0.28
160      MAURITANIA                                                      0.26
161      EL SALVADOR                                                     0.26
162      SWAZILAND                                                       0.24
163      TAJIKISTAN                                                      0.24
164      DEMOCRATIC PEOPLE S REPUBLIC OF KOREA                           0.23
165      NICARAGUA                                                       0.23
166      TUVALU                                                          0.22
167      PAPUA NEW GUINEA                                                0.21
168      ZIMBABWE                                                         0.2
169      CAMBODIA                                                         0.2
170      CONGO                                                           0.19
171      OCCUPIED PALESTINIAN TERRITORY                                  0.19
172      NIGERIA                                                         0.18
173      BENIN                                                           0.18
174      SENEGAL                                                         0.17
175      SAO TOME & PRINCIPE                                             0.17
176      BANGLADESH                                                      0.15
177      KIRIBATI                                                        0.15
178      COTE D IVOIRE                                                   0.15
179      REPUBLIC OF SUDAN                                               0.15
180      VANUATU                                                         0.13
181      GHANA                                                           0.13
182      SOLOMON ISLANDS                                                 0.12
183      MYANMAR (FORMERLY BURMA)                                        0.12
184      NEPAL                                                           0.11
185      DJIBOUTI                                                        0.11
186      TIMOR-LESTE (FORMERLY EAST TIMOR)                               0.11
187      ZAMBIA                                                           0.1
188      TOGO                                                             0.1
189      YEMEN                                                            0.1
190      KENYA                                                           0.09
191      REPUBLIC OF CAMEROON                                            0.08
192      HAITI                                                           0.08
193      COMOROS                                                         0.08
194      MOZAMBIQUE                                                      0.08
195      LIBERIA                                                         0.07
196      GUINEA                                                          0.07
197      GAMBIA                                                          0.07
198      UNITED REPUBLIC OF TANZANIA                                     0.06
199      BURKINA FASO                                                    0.06
