Ranking of the world's countries by 2016 total CO2 emissions from fossil-fuel
burning, cement production, and gas flaring. Emissions (CO2_TOT) are
expressed in thousand metric tons of carbon (not CO2).  To convert these
estimates to units of carbon dioxide (CO2), simply multiply these estimates
by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
with     Tom Boden and Bob Andres, retired 


RANK     NATION                                                      CO2_TOT
174      SAINT MARTIN (DUTCH PORTION)                                     208
175      ERITREA                                                          194
176      SOMALIA                                                          176
177      GIBRALTAR                                                        173
178      FAEROE ISLANDS                                                   172
179      DJIBOUTI                                                         169
180      BERMUDA                                                          167
181      SEYCHELLES                                                       165
182      BELIZE                                                           155
183      ANTIGUA & BARBUDA                                                152
184      CAYMAN ISLANDS                                                   149
185      CAPE VERDE                                                       148
186      GAMBIA                                                           145
187      GREENLAND                                                        139
188      BURUNDI                                                          135
189      TIMOR-LESTE (FORMERLY EAST TIMOR)                                135
190      ANDORRA                                                          128
191      SAINT LUCIA                                                      113
192      BONAIRE, SAINT EUSTATIUS, AND SABA                                90
193      CENTRAL AFRICAN REPUBLIC                                          81
194      GUINEA BISSAU                                                     80
195      GRENADA                                                           73
196      SAMOA                                                             67
197      ST. KITTS-NEVIS                                                   65
198      PALAU                                                             61
199      ST. VINCENT & THE GRENADINES                                      60
200      TURKS AND CAICOS ISLANDS                                          59
201      BRITISH VIRGIN ISLANDS                                            58
202      COMOROS                                                           55
203      DOMINICA                                                          49
204      SOLOMON ISLANDS                                                   46
205      ANGUILLA                                                          42
206      VANUATU                                                           40
207      FEDERATED STATES OF MICRONESIA                                    39
208      MARSHALL ISLANDS                                                  39
209      TONGA                                                             35
210      SAO TOME & PRINCIPE                                               33
211      ST. PIERRE & MIQUELON                                             21
212      KIRIBATI                                                          18
213      COOK ISLANDS                                                      17
214      FALKLAND ISLANDS (MALVINAS)                                       14
215      LIECHTENSTEIN                                                     14
216      NAURU                                                             13
217      MONTSERRAT                                                         8
218      WALLIS AND FUTUNA ISLANDS                                          7
219      SAINT HELENA                                                       3
220      TUVALU                                                             3
221      NIUE                                                               2
